mean_demand,std_demand,nn_cost,nn_std,base_stock_cost,base_stock_std,myopic_cost,myopic_std,nn_vs_base_stock,nn_vs_myopic
5.0,2.0,6736.69,1688.9997672883205,6020.93,1828.8777283077184,5327.81,2007.7796377839873,11.887864499338141,26.443885949386313
3.0,2.0,5149.42,1929.6944845233922,3722.3,1608.1933061668922,3024.04,1890.366054075242,38.33973618461704,70.28280049205699
7.0,2.0,8167.18,1681.484709297114,8500.75,1678.6819494770293,6932.51,1837.1134994604988,-3.9240067052907057,17.809855304932842
10.0,2.0,10588.41,1534.2712021999241,10380.9,1578.2935563449535,9820.9,1995.7569466245131,1.998959627777941,7.815067865470571
5.0,1.0,6758.26,980.3635919392356,6094.63,871.5795391701207,5071.0,1040.6733877639035,10.88876601204667,33.27272727272727
5.0,3.0,6781.32,2613.2808761401825,5749.77,2324.2664427943714,4896.17,2833.9844638070967,17.940717628705126,38.502543825071434
5.0,4.0,6698.21,3148.603580303497,5773.95,2779.6486697962387,5121.45,3222.0842458725374,16.007412603157277,30.787374669283118
3.0,1.0,4732.54,871.22,3722.3,918.512770733211,3051.15,1012.5742380191192,27.14020901055798,55.1067630237779
7.0,3.0,7866.77,2342.0351442922456,8605.15,2441.8981075180027,7273.42,2502.5076390692593,-8.580675525702619,8.15778547093391
10.0,4.0,10873.64,2474.1285638381846,11044.41,2994.853028430611,9583.14,3625.645854244454,-1.54621206565132,13.466358625669672
